Sample ID,Type,Fe_%,SiO2_%,Al2O3_%,TiO2_%,Mn_%,CaO_%,P XRF_%,S XRF_%,MgO_%,K2O_%,Na2O_%,Zn_%,As_%,Cl_%,Cu_%,Pb_%,Ba_%,V_%,Cr_%,Ni_%,Co_%,Sn XRF_%,Zr_%,Sr_%,Fe3O4_%,LOI_371_%,LOI_650_%,LOI_1000_%,LOI_ Total_%,P80_um_(l),Mass_g
NSRD0797-F-13,Feed,35.93,37.87,1.06,0.05,0.6,1.58,0.09,0.02,2.23,0.72,0.05,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0.01,41.7,3.72,0.08,2.93,0.71,31.84,39.947
NSRD0797-F-14,Feed,31.38,40.63,2.2,0.1,0.53,1.02,0.16,0.12,3.15,0.56,0.1,0,0,0,0,0,0.02,0,0.01,0.01,0,0,0,0.02,26.9,5.96,0.73,5.18,0.05,29.78,40.079
NSRD0798-F-3,Feed,36.06,37.2,1.27,0.06,0.59,0.7,0.11,0.04,2.35,0.36,0.06,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,34.79,0.57,5.07,-0.24,5.4,33.56,40.025
NSRD0798-F-4,Feed,36,37.23,1.39,0.07,0.58,1.47,0.1,0.09,2.2,0.53,0.05,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,38.2,0.3,3.6,0.58,4.48,34.94,39.973
NSRD0798-F-5,Feed,34.34,38.55,1.7,0.08,0.49,2.12,0.14,0.08,2.07,1.13,0.05,0,0,0,0,0,0.02,0,0.01,0.01,0,0,0,0.01,34.96,0.14,2.89,1.26,4.29,33.01,39.982
NSRD0798-F-6,Feed,31.76,41.21,1.59,0.09,0.39,2.16,0.11,0.13,2.31,0.55,0.07,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,28.7,0.54,3.77,1.43,5.74,33.16,39.989
NSRD0798-F-7,Feed,31.9,40.5,1.82,0.09,0.4,1.15,0.09,0.11,2.34,0.51,0.1,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,22.7,1.51,5.23,0.38,7.12,35.83,39.988
NSRD0798-F-8,Feed,32.98,39.59,1.84,0.09,0.42,0.89,0.11,0.08,2.33,0.54,0.11,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0.01,24.68,1.54,5.12,0.08,6.74,39.01,40.005
NSRD0798-F-9,Feed,30.33,40.19,2.57,0.12,0.38,1.46,0.11,0.21,2.61,0.69,0.12,0.01,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,16,1.71,5.62,0.73,8.06,35.3,39.997
NSRD0798-F-10,Feed,32.25,39.49,2.28,0.11,0.35,2,0.11,0.14,2.28,0.58,0.1,0.01,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0.01,24.85,1.02,3.82,1.19,6.03,33.11,40.001
NSRD0799-F-5,Feed,30.51,42.97,3.61,0.17,0.42,0.9,0.12,0.09,1.89,1.53,0.23,0.01,0,0,0,0,0.04,0,0.04,0.01,0,0,0.01,0.01,19.05,4.19,0.98,3,0.21,34.46,39.95
NSRD0799-F-6,Feed,30.96,41.27,2.75,0.12,0.44,1.54,0.12,0.06,2.39,1.33,0.24,0,0,0,0,0,0.03,0,0.03,0.01,0,0,0,0.01,29.05,5.08,0.27,4.01,0.8,32.45,39.99
NSRD0799-F-10,Feed,31.17,41.28,2.46,0.11,0.46,1.46,0.08,0.12,2.67,0.91,0.11,0,0,0,0,0,0.02,0,0.02,0.01,0,0,0,0.01,29.35,5.65,0.29,4.6,0.76,29.23,39.973
NSRD0799-F-12,Feed,31.45,41.12,3.02,0.14,0.43,1.27,0.08,0.09,2.38,1.57,0.29,0,0,0,0,0,0.04,0,0.02,0.01,0,0,0,0.01,29.56,4.54,0.31,3.64,0.59,31.89,39.95
NSRD0799-F-13,Feed,28.88,43.33,3.65,0.16,0.43,1.34,0.09,0.35,2.53,1.87,0.11,0.01,0,0,0.01,0,0.04,0,0.03,0.01,0,0,0.01,0.01,26.65,4.57,0.16,3.75,0.66,31.69,39.939
NSRD0799-F-14,Feed,23.33,46.38,6.69,0.29,0.33,1.13,0.08,0.24,3.11,2.65,0.11,0.01,0,0,0.01,0,0.07,0.01,0.06,0.02,0,0,0.01,0.01,16.65,5.66,0.49,4.45,0.72,30.41,39.94
NSRD0799-F-16,Feed,25.5,44.54,5.18,0.25,0.34,1.04,0.08,0.33,3.11,1.95,0.09,0.01,0,0,0.01,0,0.09,0.01,0.05,0.02,0,0,0.01,0.01,16.9,6.31,0.55,5.06,0.7,29.26,39.99
NSRD0799-F-17,Feed,23.78,46.39,5.88,0.27,0.32,1.24,0.1,0.27,2.95,2.66,0.1,0.01,0,0.01,0.01,0,0.1,0.01,0.05,0.02,0,0.01,0.01,0.01,16.95,5.57,0.46,4.37,0.74,29.74,40.002
